keys;en;de
CHUBERRYSEED_NAME;Chuberry Seed;Chuberrysamen
CHUBERRYSEED_DESCRIPTION_TOOLTIP;The seeds of a chuberry plant.;Die Samen einer Chuberry Pflanze.
CHUBERRYSEED_DESCRIPTION_WIKI;The seeds of a chuberry plant. They have to be planted in soil and watered regularly to reward with tasty berries.;Die Samen einer Chuberrypflanze. Sie müssen in Erde gepflanzt und regelmäßig gegossen werden, um mit leckeren Beeren zu belohnen.
CHUBERRYFRUIT_NAME;Chuberry Fruit;Chuberryfrucht
CHUBERRYFRUIT_DESCRIPTION_TOOLTIP;The fruits of a chuberry plant.;Die Früchte einer Chuberry Pflanze.
CHUBERRYFRUIT_DESCRIPTION_WIKI;The berries of a chuberry plant. While the plant itself looks quite gnarly, the berries are surprisingly juicy. It can be pressed into juice, though most people just dry them and eat them as a snack or ingredient in cooking and baking.;Die Beeren einer Chuberrypflanze. Obwohl die Pflanze selbst recht knorrig aussieht, sind die Beeren überraschend saftig. Man kann sie zu Saft pressen, die meisten Menschen trocknen sie jedoch einfach und essen sie als Snack oder Zutat beim Kochen und Backen.
DRUPOLEAUMSEED_NAME;Drupoleaum Seed;Drupoleumsamen
DRUPOLEAUMSEED_DESCRIPTION_TOOLTIP;The seeds of a Drupoleaum plant.;Die Samen einer Drupoleum Pflanze.
DRUPOLEAUMSEED_DESCRIPTION_WIKI;The seeds of a Drupoleaum plant. They have to be planted in soil and watered regularly. It will grow up a trellis.;Die Samen einer Drupoleumpflanze. Sie müssen in Erde gepflanzt und regelmäßig gegossen werden. Sie werden an einem Rankgitter hochwachsen.
DRUPOLEAUMFRUIT_NAME;Drupoleaum Fruit;Drupoleumfrucht
DRUPOLEAUMFRUIT_DESCRIPTION_TOOLTIP;The berries of a drupoleaum plant.;Die Beeren einer Drupoleum Pflanze.
DRUPOLEAUMFRUIT_DESCRIPTION_WIKI;The berries of a drupoleaum plant. For a long time, the use of drupoleaum berries was not common, as the majority of flowers got picked before ever developing into fruits. Just recently, their anti-inflammatory effects have become known, which has led to a high demand for berries after the Big Flooding.;Die Beeren der Drupoleumpflanze. Lange Zeit war die Verwendung von Drupoleumbeeren unüblich, da die meisten Blüten gepflückt wurden, bevor sich Früchte bildeten. Erst kürzlich wurde ihre entzündungshemmende Wirkung bekannt, was nach der Großen Überschwemmung zu einer hohen Nachfrage nach Beeren führte.
DRUPOLEAUMFLOWER_NAME;Drupoleaum Flower;Drupoleumblüte
DRUPOLEAUMFLOWER_DESCRIPTION_TOOLTIP;The flowers of a drupoleaum plant.;Die Blüten einer Drupoleum Pflanze.
DRUPOLEAUMFLOWER_DESCRIPTION_WIKI;The flowers of a drupoleaum plant. Traditionally the people of the Liyor Islands held a flower festival to celebrate the blooming of the first Drupoleaum flower. As the wild variations of drupoleaum vined up trees, a popular game was to find the highest growing flower and offer it to the goddess’s shrine. Nowadays, the flowers are a popular tea variant and help with finding sleep.;Die Blüten einer Drupoleumpflanze. Traditionell feierten die Bewohner der Liyor-Inseln die Blüte der ersten Drupoleumpflanze mit einem Blumenfest. Da die wilden Varianten der Drupoleumpflanze an Bäumen emporrankten, war es ein beliebtes Spiel, die am höchsten wachsende Blüte zu finden und sie dem Schrein der Göttin darzubringen. Heute sind die Blüten eine beliebte Teesorte und helfen beim Einschlafen.
LICARYSEED_NAME;Licary Seed;Licarysamen
LICARYSEED_DESCRIPTION_TOOLTIP;The seeds of a Licary plant.;Die Samen einer Licary Pflanze.
LICARYSEED_DESCRIPTION_WIKI;The seeds of a Licary plant. They have to be planted in soil and watered regularly to reward you with multiple harvestable Items.;Die Samen einer Licarypflanze. Sie müssen in Erde gepflanzt und regelmäßig gegossen werden, um mit mehreren erntbaren Gegenständen zu belohnen.
LICARYLEAVES_NAME;Licary Leaves;Licaryblätter
LICARYLEAVES_DESCRIPTION_TOOLTIP;The leaves of a licary plant.;Die Blätter einer Licary Pflanze.
LICARYLEAVES_DESCRIPTION_WIKI;The leaves of a licary plant. The leaves are pretty bitter and cannot be eaten without first processing them. Usually, they are dried and then brewed into a tea. The tea is said to help with colds and flu.;Die Blätter der Licarypflanze. Die Blätter sind recht bitter und können nicht ohne vorherige Verarbeitung gegessen werden. Normalerweise werden sie getrocknet und dann zu einem Tee aufgebrüht. Der Tee soll bei Erkältungen und Grippe helfen.
LICARYFRUIT_NAME;Licary Fruit;Licaryfrucht
LICARYFRUIT_DESCRIPTION_TOOLTIP;The fruits of a licary plant.;Die Früchte einer Licary Pflanze.
LICARYFRUIT_DESCRIPTION_WIKI;The fruits of a licary plant. The small but bright orange fruit has a hard outer skin that makes it uncomfortable to eat. It’s anti-oxidant effect makes it a popular juice, though. Parents usually pack small bottles of Licary juice as lunch drinks for their kids at school.;Die Früchte der Licarypflanze. Die kleine, leuchtend orange Frucht hat eine harte Schale, die das Essen unangenehm macht. Ihre antioxidative Wirkung macht sie jedoch zu einem beliebten Saftgetränk. Eltern geben ihren Kindern in der Schule meist kleine Flaschen Licarysaft als Mittagsgetränk mit.
LICARYFLOWER_NAME;Licary Flower;Licaryblüte
LICARYFLOWER_DESCRIPTION_TOOLTIP;The flowers of a licary plant.;Die Blüten einer Licary Pflanze.
LICARYFLOWER_DESCRIPTION_WIKI;The flowers of a licary plant. Their four bright yellow leaves are often associated with the power of the sun, so a tea made out of these flowers is a popular morning drink. Whenever the colder days arrive, people stock up on these flowers to always have the sun around.;Die Blüten einer Licarypflanze. Ihre vier leuchtend gelben Blätter werden oft mit der Kraft der Sonne in Verbindung gebracht, daher ist ein Tee aus diesen Blüten ein beliebtes Morgengetränk. Sobald der Winter vor der Tür steht, decken sich die Menschen mit diesen Blüten ein, um die Sonne immer bei sich zu haben.
DRIEDFRUIT_NAME;Dried Fruit;Getrocknete Früchte
DRIEDFRUIT_DESCRIPTION_TOOLTIP;A dried fruit. I wonder what it tastes like.;Getrocknete Früchte. Ich frage mich, wie sie wohl schmecken.
DRIEDFRUIT_DESCRIPTION_WIKI;A dried fruit. Drying fruits in the dehydrator will make them last longer and amplify their properties.;Getrocknete Früchte. Früchte im Dörrgerät zu trocknen macht sie haltbar und verstärkt ihre Eigenschaften.
DRIEDFLOWER_NAME;Dried Flower;Getrocknete Blüten
DRIEDFLOWER_DESCRIPTION_TOOLTIP;A dried flower. Still looks very pretty.;Getrocknete Blüten. Sie sehen immer noch sehr schön aus.
DRIEDFLOWER_DESCRIPTION_WIKI;A dried flower. Drying flowers in the dehydrator will make them last longer and amplify their properties.;Getrocknete Blüten. Blüten im Dörrgerät zu trocknen macht sie haltbar und verstärkt ihre Eigenschaften.
DRIEDFLEAVES_NAME;Dried Leaf;Getrocknete Blätter
DRIEDLEAVES_DESCRIPTION_TOOLTIP;Dried leaves. They seem very delicate.;Getrocknete Blätter. Sie scheinen sehr zerbrechlich zu sein.
DRIEDLEAVES_DESCRIPTION_WIKI;Dried leaves. Drying leaves in the dehydrator will make them last longer and amplify their properties.;Getrocknete Blätter. Blätter im Dörrgerät zu trocknen macht sie haltbar und verstärkt ihre Eigenschaften.
