keys;en;de
RUBBERDUCK_NAME;Rubber Duck;Quietscheentchen
RUBBERDUCK_DESCRIPTION_TOOLTIP;A rubber duck. It squeaks when you squeeze it.;Ein Quietscheentchen. Es quietscht wenn es gequetscht wird.
RUBBERDUCK_DESCRIPTION_WIKI;"A random rubber duck, found in the wild. It’s a mystery how it got here. You can squeeze it and it will make a squeaky sound. Maybe it's a relic of the past?
";Ein zufällig in der Wildnis gefundenes Quietcheentchen. Es ist ein Rätsel wie es hierher gekommen ist. Man kann es quetschen und dann quietscht es. Ob es wohl ein Relikt aus der Vergangenheit ist?
BLUEFISH_NAME;Blue Fish;Blauer Fisch
BLUEFISH_DESCRIPTION_TOOLTIP;A blue fish. It smells like the ocean.;Ein blauer Fisch. Er riecht nach Ozean.
BLUEFISH_DESCRIPTION_WIKI;A fish with pretty blue scales. It smells like the ocean. It’s a popular ingredient in many dishes, but unfortunately, I can’t cook.;Ein Fisch mit hübschen blauen Schuppen. Er riecht nach Ozean. Dieser Fisch ist eine beliebte Zutat für viele Gerichte, aber ich kann leider nicht kochen.
PURPLEFISH_NAME;Purple Fish;Lilaner Fisch
PURPLEFISH_DESCRIPTION_TOOLTIP;A purple fish. It smells like the ocean.;Ein lilaner Fisch. Er riecht nach Ozean.
PURPLEFISH_DESCRIPTION_WIKI;A fish with pretty purple scales. It smells like the ocean. It’s a popular ingredient in many dishes, but unfortunately, I can’t cook.;Ein Fisch mit hübschen lila Schuppen. Er riecht nach Ozean. Dieser Fisch ist eine beliebte Zutat für viele Gerichte, aber ich kann leider nicht kochen.
LIGHTBLUEFISH_NAME;Light Blue Fish;Hellblauer Fisch
LIGHTBLUEFISH_DESCRIPTION_TOOLTIP;A light blue fish. It smells like the ocean.;Ein hellblauer Fisch. Er riecht nach Ozean.
LIGHTBLUEFISH_DESCRIPTION_WIKI;A fish with scales like ice. It smells like the ocean. It’s a popular ingredient in many dishes, but unfortunately, I can’t cook.;Ein Fisch mit Schuppen wie Eis. Er riecht nach Ozean. Dieser Fisch ist eine beliebte Zutat für viele Gerichte, aber ich kann leider nicht kochen.
PINKFISH_NAME;Pink Fish;Pinker Fisch
PINKFISH_DESCRIPTION_TOOLTIP;A pink fish. It smells like the ocean.;Ein pinker Fisch. Er riecht nach Ozean.
PINKFISH_DESCRIPTION_WIKI;A fish with pinkish scales. It smells like the ocean. It’s a popular ingredient in many dishes, but unfortunately, I can’t cook.;Ein Fisch mit pinken Schuppen. Er riecht nach Ozean. Dieser Fisch ist eine beliebte Zutat für viele Gerichte, aber ich kann leider nicht kochen.
GREENFISH_NAME;Green Fish;Grüner Fisch
GREENFISH_DESCRIPTION_TOOLTIP;A green fish. It smells like the ocean.;Ein grüner Fisch. Er riecht nach Ozean.
GREENFISH_DESCRIPTION_WIKI;A fish with light green scales. It smells like the ocean. It’s a popular ingredient in many dishes, but unfortunately, I can’t cook.;Ein Fisch mit hellgrünen Schuppen. Er riecht nach Ozean. Dieser Fisch ist eine beliebte Zutat für viele Gerichte, aber ich kann leider nicht kochen.
REDSPOTFISH_NAME;Red Fish with Spots;Roter Fisch mit Flecken
REDSPOTFISH_DESCRIPTION_TOOLTIP;A red fish. It has dark spots.;Ein roter Fisch. Er rhat dunkle Flecken.
REDSPOTFISH_DESCRIPTION_WIKI;A red fish with spots. It looks a little curious. It must be a rarity! I want to keep it as a pet, I wonder where I could find an aquarium.;Ein roter Fisch mit Flecken. Er sieht ein wenig seltsam aus. Ich wette er ist eine Seltenheit! Ich würde ihn gerne als Haustier behalten, ich frage mich wo ich wohl ein Aquarium finden kann.
